nubbinID,genet,days,growth.rate,fragment.type,nursery.structure
A02,A,61,0.031,Apical,Tree
A07,A,61,0.025,Apical,Tree
A19,A,61,0.011,Proximal,Tree
A1B,A,61,0.009,Apical,Tree
A22,A,61,0.016,Apical,Tree
A23,A,61,0.017,Apical,Tree
A28,A,61,0.004,Apical,Tree
A2B,A,61,0.017,Apical,Tree
A34,A,61,0.022,Apical,Tree
A4W,A,61,0.021,Proximal,Tree
B10,B,61,0.018,Proximal,Module
B13,B,27,0.01,Apical,Module
B14,B,61,0.025,Proximal,Module
B16,B,61,0.018,Proximal,Module
B18,B,61,0.024,Apical,Module
B19,B,61,0.027,Proximal,Module
B1B.Y9,B,61,0.038,Apical,Module
B20,B,61,0.029,Proximal,Module
B21,B,61,0.012,Proximal,Module
B22,B,61,0.026,Proximal,Module
B23,B,61,0.022,Apical,Module
B24,B,61,0.024,Proximal,Module
B25,B,61,0.027,Proximal,Module
B26,B,27,0.015,Apical,Module
B27,B,61,0.027,Proximal,Module
B29,B,61,0.025,Proximal,Module
B2B.Y10,B,61,0.039,Proximal,Module
B30,B,61,0.036,Proximal,Module
B31,B,61,0.026,Proximal,Module
B32,B,61,0.028,Proximal,Module
B34,B,61,0.012,Apical,Module
C07,C,27,-0.02,Proximal,Module
C08,C,61,0.033,Proximal,Module
C09,C,61,0.02,Proximal,Module
C10,C,61,0.038,Proximal,Module
C12,C,61,0.023,Proximal,Module
C16,C,61,0.002,Apical,Module
C17,C,27,-0.011,Proximal,Module
C18,C,61,0.011,Proximal,Module
C19,C,61,0.028,Proximal,Module
C1B.O6,C,61,0.028,Proximal,Module
C1W,C,61,0.026,Apical,Module
C20,C,61,0.021,Proximal,Module
C21,C,61,0.031,Apical,Module
C22,C,61,0.035,Apical,Module
C24,C,61,0.004,Apical,Module
C25,C,61,0.024,Proximal,Module
C26,C,61,0.034,Proximal,Module
C27,C,61,0.026,Proximal,Module
C28,C,61,0.026,Proximal,Module
C30,C,61,0.034,Proximal,Module
C33,C,61,0.021,Apical,Module
C34,C,61,0.017,Proximal,Module
C35,C,61,0.022,Proximal,Module
D01,D,61,0.035,Proximal,Module
D07,D,61,0.024,Proximal,Module
D08,D,61,0.014,Proximal,Module
D12,D,61,0.015,Proximal,Module
D13,D,61,0.026,Apical,Module
D15,D,27,0.005,Proximal,Module
D16,D,61,0.012,Proximal,Module
D19,D,27,0.002,Proximal,Module
D1Y.zip,D,61,0.016,Proximal,Module
D20,D,61,0.033,Apical,Module
D21,D,61,0.024,Proximal,Module
D24,D,27,0.006,Proximal,Module
D25,D,61,0.012,Proximal,Module
D26,D,61,0.01,Proximal,Module
D27,D,61,0.019,Proximal,Module
D29,D,27,0.021,Proximal,Module
D35,D,27,0.021,Proximal,Module
D36,D,61,0.026,Apical,Module
E01,E,61,0.004,Apical,Tree
E03,E,27,0.035,Proximal,Tree
E07,E,27,0.004,Proximal,Tree
E09,E,61,-0.007,Apical,Tree
E11,E,61,0.013,Apical,Tree
E13,E,27,0.005,Proximal,Tree
E14,E,27,0.002,Proximal,Tree
E17,E,61,0.027,Proximal,Tree
E19,E,27,-0.004,Apical,Tree
E1W,E,61,-0.001,Apical,Tree
E21,E,61,0.019,Apical,Tree
E23,E,27,0.009,Proximal,Tree
E24,E,61,0.02,Proximal,Tree
E25,E,61,0.026,Proximal,Tree
E26,E,61,0.03,Proximal,Tree
E31,E,61,0.03,Proximal,Tree
E32,E,61,0.024,Proximal,Tree
E34,E,61,0.012,Apical,Tree
E36,E,61,0.006,Proximal,Tree
F01,F,61,0.012,Apical,Tree
F04,F,61,0.028,Proximal,Tree
F06,F,61,0.026,Proximal,Tree
F09,F,61,0.022,Proximal,Tree
F10,F,61,0.022,Apical,Tree
F11,F,61,0.014,Apical,Tree
F12,F,61,0.01,Apical,Tree
F16,F,61,0.021,Apical,Tree
F19,F,61,0.016,Apical,Tree
F1O.zip,F,61,0.006,Proximal,Tree
F1Y.zip,F,61,0.003,Proximal,Tree
F22,F,61,0.017,Apical,Tree
F23,F,61,0.01,Apical,Tree
F24,F,61,0.005,Apical,Tree
F27,F,27,0.008,Apical,Tree
F28,F,61,0.019,Proximal,Tree
F32,F,61,0.028,Proximal,Tree
F33,F,27,0.002,Apical,Tree
F34,F,27,0.001,Proximal,Tree
F35,F,27,0.001,Apical,Tree
G01,G,61,0.014,Proximal,Module
G03,G,61,0.025,Apical,Module
G06,G,61,0.023,Proximal,Module
G07,G,61,0.015,Apical,Module
G11,G,61,0.004,Proximal,Module
G14,G,61,0.017,Proximal,Module
G16,G,61,0.025,Proximal,Module
G17,G,61,0.01,Proximal,Module
G18,G,61,0.014,Apical,Module
G25,G,61,0.023,Proximal,Module
G28,G,61,0.009,Apical,Module
G31,G,61,0.016,Apical,Module
G32,G,61,0.016,Proximal,Module
G33,G,61,0.034,Proximal,Module
H03,H,61,0.015,Proximal,PVC
H05,H,27,-0.005,Proximal,PVC
H07,H,61,0.032,Proximal,PVC
H08,H,61,0.025,Proximal,PVC
H09,H,61,0.017,Proximal,PVC
H11,H,61,0.029,Proximal,PVC
H12,H,27,0.007,Proximal,PVC
H13,H,61,0.022,Proximal,PVC
H14,H,27,0.001,Apical,PVC
H16,H,27,0.006,Proximal,PVC
H17,H,61,0.02,Apical,PVC
H20,H,61,0.016,Proximal,PVC
H25,H,61,0.018,Proximal,PVC
H27,H,61,0.013,Apical,PVC
H28,H,61,0.023,Proximal,PVC
H30,H,61,0.012,Proximal,PVC
H32,H,61,0.007,Proximal,PVC
H36,H,61,0.014,Proximal,PVC
I06,I,61,0.032,Proximal,Tree
I08,I,27,0.006,Proximal,Tree
I09,I,61,0.029,Proximal,Tree
I10,I,61,0.031,Proximal,Tree
I11,I,27,0.011,Apical,Tree
I13,I,27,0.014,Proximal,Tree
I15,I,61,0.003,Proximal,Tree
I16,I,61,0.035,Proximal,Tree
I18,I,61,0.021,Apical,Tree
I20,I,61,0.029,Proximal,Tree
I25,I,61,0.015,Proximal,Tree
I28,I,61,0.03,Proximal,Tree
I32,I,27,0.011,Proximal,Tree
I33,I,61,0.027,Proximal,Tree
I40,I,61,0.034,Proximal,Tree
J02,J,61,0.023,Proximal,Module
J05,J,61,0.016,Proximal,Module
J06,J,61,0.042,Proximal,Module
J09,J,61,0.035,Proximal,Module
J10,J,61,0.017,Proximal,Module
J11,J,61,0.015,Apical,Module
J14,J,61,0.033,Proximal,Module
J17,J,61,0.036,Proximal,Module
J18,J,61,0.026,Proximal,Module
J20,J,61,0.026,Apical,Module
J23,J,61,0.021,Apical,Module
J26,J,61,0.036,Proximal,Module
J27,J,61,0.038,Proximal,Module
J29,J,61,0.025,Apical,Module
J2B,J,27,0.02,Apical,Module
J30,J,61,0.035,Proximal,Module
J31,J,61,0.03,Proximal,Module
J32,J,27,0.016,Apical,Module
J33,J,61,0.02,Apical,Module
J35,J,27,0.027,Proximal,Module
J36,J,27,0.031,Proximal,Module
J7B,J,61,0.007,Apical,Module